X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,GRAVEDAD,CLASE_ACC,LOCALIDAD
-74.072855288,4.60854772500005,402716,A001135362,10513304,2020/03/09 00:00:00+00,2020,CON HERIDOS,ATROPELLO,SAN CRISTOBAL
-74.1815830749999,4.63157372600006,402717,A001136054,10513305,2020/03/09 00:00:00+00,2020,CON HERIDOS,CHOQUE,BOSA
-74.0529845089999,4.70522203700006,402718,A001135973,10513307,2020/03/09 00:00:00+00,2020,CON HERIDOS,ATROPELLO,USAQUEN
-74.100977744,4.57438187100007,402719,A001134663,10513326,2020/03/09 00:00:00+00,2020,CON HERIDOS,CHOQUE,RAFAEL URIBE URIBE
-74.09383539,4.73800543100003,402720,A001134736,10513325,2020/03/08 00:00:00+00,2020,CON HERIDOS,VOLCAMIENTO,SUBA
-74.113918042,4.60471786500005,402721,A001134637,10513341,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.042273237,4.74324472700005,402722,A001135683,10513343,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.084597241,4.62315682900004,402723,A001135881,10513350,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,LOS MARTIRES
-74.0810743709999,4.59512095300005,402724,A001135583,10513353,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,SANTA FE
-74.043728464,4.67601969900005,402725,A001136031,10513373,2020/03/06 00:00:00+00,2020,SOLO DANOS,VOLCAMIENTO,CHAPINERO
-74.096164109,4.62078912100003,402726,A001135564,10513336,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.0847670969999,4.66742412600007,402727,A001134622,10513337,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,BARRIOS UNIDOS
-74.16584971,4.69260370600006,402728,A001135633,10513338,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.0950347639999,4.62058857600005,402729,A001135565,10513340,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.089529149,4.69573941700003,402730,A001135573,10513347,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,ENGATIVA
-74.074717869,4.64083783300003,402731,A001135302,10513348,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.0522242059999,4.66310713400003,402732,A001135624,10513356,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.069124035,4.67272650100006,402733,A001134776,10513358,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,BARRIOS UNIDOS
-74.0906039399999,4.73257565600005,402734,A001135773,10513359,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.136856697,4.56742648800002,402735,A001135502,10513366,2020/03/07 00:00:00+00,2020,SOLO DANOS,CHOQUE,TUNJUELITO
-74.0427037589999,4.77184771000003,402736,A001135670,10513370,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.1177263339999,4.71681507300002,402737,A001135807,10513380,2020/03/08 00:00:00+00,2020,SOLO DANOS,CHOQUE,ENGATIVA
-74.09646306,4.61029212600005,402738,A001135715,10513386,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.0736931879999,4.62369691700007,402739,A001135589,10513247,2020/03/06 00:00:00+00,2020,CON HERIDOS,CHOQUE,TEUSAQUILLO
-74.146857273,4.56359236200007,402740,A001135918,10513251,2020/03/07 00:00:00+00,2020,CON HERIDOS,CHOQUE,CIUDAD BOLIVAR
-74.062112906,4.64024081800005,402741,A001135786,10513257,2020/03/05 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.059532221,4.75594212400006,402742,A001134380,10513265,2020/03/05 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.144935614,4.64572422000003,402743,A001135663,10513267,2020/03/05 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.071492883,4.65277308900005,402744,A001135286,10513272,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,BARRIOS UNIDOS
-74.07120047,4.70654366300005,402745,A001135096,10513273,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.040683283,4.69872311700004,402746,A001135591,10513277,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.0779920429999,4.68473463200007,402747,A001135071,10513278,2020/03/06 00:00:00+00,2020,SOLO DANOS,INCENDIO,BARRIOS UNIDOS
-74.028788371,4.70062197500005,402748,A001134067,10513289,2020/03/05 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.080060332,4.62101753000007,402749,A001135385,10513293,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,LOS MARTIRES
-74.050939225,4.72498708100005,402750,A001130848,10513297,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.113308019,4.57041689800008,402874,A001135755,10513826,2020/03/14 00:00:00+00,2020,CON HERIDOS,ATROPELLO,RAFAEL URIBE URIBE
-74.147833025,4.58878824500005,402875,A001135522,10513828,2020/03/14 00:00:00+00,2020,CON HERIDOS,CAIDA DE OCUPANTE,TUNJUELITO
-74.202176057,4.63745350500005,402876,A001134309,10513829,2020/02/21 00:00:00+00,2020,SOLO DANOS,ATROPELLO,BOSA
-74.070464859,4.67218965000006,402877,A001135964,10513830,2020/03/13 00:00:00+00,2020,CON HERIDOS,ATROPELLO,BARRIOS UNIDOS
-74.088320223,4.56217040200005,402878,A001134665,10513832,2020/03/14 00:00:00+00,2020,CON HERIDOS,ATROPELLO,SAN CRISTOBAL
-74.086778088,4.56894036000006,402879,A001136556,10513836,2020/03/14 00:00:00+00,2020,CON HERIDOS,ATROPELLO,SAN CRISTOBAL
-74.0766539859999,4.61104202800004,402880,A001136522,10513843,2020/03/13 00:00:00+00,2020,CON HERIDOS,ATROPELLO,SANTA FE
-74.154056828,4.58100591800007,402881,A001127602,10514190,2020/03/17 00:00:00+00,2020,SOLO DANOS,CHOQUE,CIUDAD BOLIVAR
-74.129322265,4.62273337100004,402882,A001136689,10514198,2020/03/16 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.063921529,4.66092235600007,402883,A001136425,10514203,2020/03/16 00:00:00+00,2020,SOLO DANOS,CHOQUE,BARRIOS UNIDOS
-74.131742802,4.64523995200005,402884,A001136246,10514204,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.138994714,4.55978980000003,402885,A001134817,10514205,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,CIUDAD BOLIVAR
-74.059680988,4.66444374000002,402886,A001135691,10514206,2020/03/16 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.0617575319999,4.65203229200006,402887,A001135899,10514219,2020/03/17 00:00:00+00,2020,CON HERIDOS,CHOQUE,CHAPINERO
-74.1419358049999,4.58118653200006,402888,A001135576,10514240,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,TUNJUELITO
-74.049351573,4.66244778900005,402889,A001136005,10514229,2020/03/15 00:00:00+00,2020,CON HERIDOS,CHOQUE,CHAPINERO
-74.108258548,4.69168906200002,402890,A001136691,10514172,2020/03/17 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.083941609,4.67581594500007,402891,A001136427,10514173,2020/03/17 00:00:00+00,2020,SOLO DANOS,CHOQUE,BARRIOS UNIDOS
-74.083804782,4.61441019300003,402892,A001135292,10514175,2020/02/14 00:00:00+00,2020,SOLO DANOS,CHOQUE,LOS MARTIRES
-74.1747884169999,4.61454100600002,402893,A001136242,10514176,2020/03/17 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.132233185,4.61113735300006,402894,A001133420,10513551,2020/03/09 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.0789979529999,4.68405917100006,402895,A001136424,10514184,2020/03/19 00:00:00+00,2020,SOLO DANOS,CHOQUE,BARRIOS UNIDOS
-74.0857304529999,4.62687456700007,402896,A001136545,10514177,2020/03/17 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.024333825,4.75397542300004,402897,A001130412,10514181,2020/03/14 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.137808228,4.61286015600007,402898,A001127664,10514186,2020/03/17 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.1391859139999,4.71058681700003,402899,A001136394,10514187,2020/03/15 00:00:00+00,2020,SOLO DANOS,CHOQUE,ENGATIVA
-74.114438466,4.68419513900005,402900,A001135956,10514215,2020/03/17 00:00:00+00,2020,CON HERIDOS,CHOQUE,ENGATIVA
-74.1323006229999,4.62525848200005,402901,A001135805,10514230,2020/03/18 00:00:00+00,2020,CON HERIDOS,CHOQUE,KENNEDY
-74.06558825,4.64408994200005,402902,A001135912,10514234,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.031049637,4.76642431600004,402903,A001136398,10514235,2020/03/18 00:00:00+00,2020,CON HERIDOS,ATROPELLO,USAQUEN
-74.1144890579999,4.61554113700004,402904,A001136506,10514239,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.08603413,4.61647421600003,402905,A001136591,10514245,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,LOS MARTIRES
-74.13569248,4.63936817000007,402906,A001136249,10514246,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.074159671,4.64080642200003,402907,A001136538,10514248,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.027590098,4.76466668000006,402908,A001136458,10514249,2020/03/15 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.070346209,4.60461543200006,402909,A001136617,10514251,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,SANTA FE
-74.0548154649999,4.65618210800005,402910,A001136040,10514258,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.13330942,4.66251325500002,402911,A001136684,10514259,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.087543226,4.61946826900004,402912,A001127757,10514261,2020/03/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.024061406,4.76569780800003,402913,A001135757,10514264,2020/03/19 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.088824674,4.64047060700005,402914,A001136542,10514189,2020/03/16 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.045718942,4.68362551300004,402915,A001136275,10514193,2020/03/17 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.100542022,4.60344227000007,402916,A001136607,10514199,2020/03/17 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.097684815,4.60729177100006,402917,A001136578,10514201,2020/03/16 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.113132358,4.50913058000003,402924,A001127553,10508567,2020/01/18 00:00:00+00,2020,SOLO DANOS,CHOQUE,USME
-74.051832878,4.66742252700004,402939,A001129312,10509645,2020/01/30 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.106322021,4.50656339100004,402945,A001130305,10509974,2020/02/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,USME
-74.20589237,4.61512024400002,402952,A001129555,10507536,2020/01/06 00:00:00+00,2020,CON HERIDOS,VOLCAMIENTO,BOSA
-74.162413234,4.59626419300002,403171,A001130690,10507928,2020/01/10 00:00:00+00,2020,CON HERIDOS,CHOQUE,BOSA
-74.119961052,4.67850421900005,403179,A001130101,10507591,2020/01/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.161555616,4.59635942100005,403189,A001130516,10507671,2020/01/08 00:00:00+00,2020,CON HERIDOS,ATROPELLO,BOSA
-74.102783239,4.68574412300006,403321,A001133055,10510989,2020/02/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,ENGATIVA
-74.073466885,4.64176076000007,403322,A001132549,10510992,2020/02/04 00:00:00+00,2020,CON HERIDOS,CAIDA DE OCUPANTE,TEUSAQUILLO
-74.099282836,4.64789838500008,403323,A001133193,10510993,2020/02/14 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
